Size,QuickSort,MergeSort
461,0.001485,0.000336
17,0.000297,0.000067
1121,0.002650,0.000811
156,0.000530,0.000361
986,0.002099,0.000670
1904,0.008194,0.001131
119,0.001838,0.000226
1420,0.004354,0.001042
121,0.000871,0.000408
1993,0.008553,0.001071
233,0.001711,0.000414
230,0.000342,0.000282
1042,0.002762,0.000256
1603,0.006142,0.000841
721,0.002225,0.000775
1252,0.003419,0.001158
451,0.000883,0.000630
1441,0.004761,0.001123
1289,0.004540,0.000823
1096,0.003300,0.000962
1136,0.003252,0.000790
1521,0.005434,0.000956
1732,0.007266,0.001188
1679,0.007633,0.001240
568,0.001527,0.001238
1813,0.007183,0.001245
1472,0.006027,0.001047
364,0.001205,0.000608
1727,0.006420,0.001118
700,0.002281,0.000622
269,0.000656,0.000124
1086,0.003023,0.000224
54,0.000605,0.000244
965,0.002114,0.000448
1921,0.008197,0.001086
894,0.003234,0.001015
1783,0.007725,0.001199
1272,0.005133,0.000838
35,0.001027,0.000168
1688,0.006186,0.001030
1739,0.008015,0.000804
436,0.002002,0.000559
1865,0.007577,0.001108
744,0.002512,0.000620
950,0.002496,0.000722
1165,0.003489,0.000543
1956,0.009070,0.001106
1590,0.006998,0.001217
1230,0.004788,0.000841
440,0.001356,0.000567
547,0.001069,0.000113
1634,0.006194,0.000621
426,0.001637,0.000323
1030,0.002520,0.000663
493,0.001102,0.000332
1172,0.003410,0.000664
1907,0.008656,0.001130
1193,0.004721,0.000824
1016,0.003336,0.000563
1676,0.006640,0.001117
1288,0.004717,0.001021
647,0.001940,0.000603
806,0.001983,0.000320
177,0.000596,0.000064
370,0.000119,0.000411
1985,0.008396,0.001079
1,0.001679,0.000216
1736,0.006815,0.000841
1871,0.008739,0.001165
1795,0.008525,0.001230
1352,0.005593,0.001043
970,0.003112,0.000607
462,0.001021,0.000321
779,0.001400,0.000662
268,0.000280,0.000332
19,0.000056,0.000066
493,0.000609,0.000213
1062,0.002115,0.001039
1668,0.006403,0.001204
1100,0.004172,0.000639
302,0.001033,0.000328
112,0.000257,0.000066
682,0.001100,0.000412
961,0.002418,0.000481
1504,0.005268,0.001093
1892,0.008628,0.001215
10,0.001726,0.000243
895,0.002139,0.000447
309,0.000627,0.000089
554,0.001122,0.000018
398,0.000623,0.000203
894,0.001719,0.000639
1965,0.008716,0.001324
365,0.002142,0.000265
1150,0.003219,0.000850
1154,0.003235,0.001167
281,0.000647,0.000433
623,0.000927,0.000485
99,0.000185,0.000296
1649,0.006815,0.000857
1914,0.009137,0.001168
1379,0.005822,0.001023
321,0.001364,0.000404
1031,0.002465,0.000679
385,0.000892,0.000335
39,0.000178,0.000067
310,0.000235,0.000213
708,0.001044,0.000441
1549,0.005391,0.000686
413,0.001477,0.000337
845,0.002289,0.000067
729,0.001454,0.000612
165,0.000291,0.000122
371,0.000656,0.000024
1350,0.004118,0.000603
707,0.001820,0.000320
669,0.001361,0.000463
1141,0.002863,0.000890
1772,0.007151,0.001175
1797,0.008407,0.001032
1987,0.010053,0.001403
1129,0.004602,0.000879
297,0.001120,0.000375
475,0.000822,0.000275
1551,0.005945,0.000852
1813,0.008365,0.001167
1532,0.006656,0.001031
1484,0.006115,0.001003
206,0.001422,0.000201
656,0.001281,0.000439
1421,0.004843,0.000686
1141,0.003759,0.000935
993,0.002945,0.000785
449,0.001187,0.000157
1101,0.003028,0.000629
1798,0.007781,0.001123
1988,0.010128,0.001221
1838,0.009401,0.001241
1034,0.004472,0.000647
406,0.001293,0.000329
192,0.000259,0.000265
1151,0.002643,0.000850
871,0.001924,0.000768
1000,0.002578,0.000751
929,0.002509,0.000549
433,0.000901,0.000508
1990,0.008751,0.001099
845,0.003744,0.000220
793,0.002144,0.000443
1552,0.005412,0.001085
1517,0.006065,0.001015
424,0.001612,0.000402
508,0.000522,0.000678
1015,0.002496,0.000734
734,0.001496,0.000546
1755,0.006877,0.001106
649,0.002372,0.000620
24,0.000474,0.000124
21,0.000095,0.000025
1289,0.003806,0.000603
1187,0.003751,0.000918
540,0.001149,0.000582
1786,0.007007,0.001113
1988,0.009773,0.001219
109,0.001955,0.000244
187,0.000391,0.000248
1019,0.002271,0.000648
1246,0.003444,0.001126
880,0.002483,0.000624
1428,0.004898,0.000908
155,0.001179,0.000196
14,0.000236,0.000039
467,0.000432,0.000208
405,0.000485,0.000241
1522,0.005679,0.001045
182,0.001335,0.000209
1882,0.007817,0.001038
749,0.002759,0.000606
1800,0.007329,0.001118
26,0.001466,0.000224
918,0.002286,0.000443
1322,0.004045,0.000886
1439,0.005295,0.000975
1396,0.005046,0.001192
1563,0.005993,0.001234
960,0.003192,0.000845
1550,0.005524,0.001165
203,0.001105,0.000432
1299,0.004008,0.000685
1330,0.004190,0.001134
732,0.002233,0.000426
1323,0.004035,0.001082
245,0.001006,0.000216
1249,0.003292,0.001040
1656,0.006836,0.001007
1798,0.008543,0.001398
175,0.001709,0.000280
1851,0.007618,0.001053
529,0.001922,0.000609
1219,0.003574,0.000720
